Concurrent task count,Total Fibonacci size,New task start time (relative),Total latency (excluding new task),New task latency,New task Fibonacci size,New task FLOPs,CPU frequency (GHz),Avg task start time,Avg task operations (GFLOPs)
5,152,0.3137,22.5777,0.3674,25,0.1214,1.3271,0.1238,2.5111
5,148,0.5317,21.9269,8.0698,32,3.5246,1.3177,0.0714,1.7819
5,156,0.3776,37.4727,2.99,29,0.832,1.2854,0.0957,4.6259
5,160,0.2545,72.4344,6.1572,31,2.1783,1.3146,0.0838,7.0099
5,149,0.5176,25.6626,11.0048,33,5.7029,1.2938,0.1785,3.9845
5,138,0.7047,4.4496,1.545,30,1.3463,1.3313,0.1538,0.4749
5,147,0.4649,12.8417,0.8955,27,0.3178,1.2729,0.1394,3.6274
5,138,0.2482,9.003,5.8708,32,3.5246,1.2552,0.0915,1.062
5,152,0.5796,53.3541,5.5794,31,2.1783,1.2771,0.1076,6.3292
5,144,0.2098,8.117,0.5853,25,0.1214,1.2896,0.0938,2.2176
5,154,0.6911,34.393,8.675,32,3.5246,1.2853,0.1423,3.5881
5,161,0.9117,86.2232,26.1004,34,9.2275,1.3236,0.2789,6.7406
5,142,0.3134,10.3666,4.9988,34,9.2275,1.3042,0.0861,0.7442
5,147,0.5483,10.8705,0.4126,25,0.1214,1.2635,0.119,2.4083
5,134,0.5273,2.0516,0.2933,26,0.1964,1.375,0.1778,0.3721
5,144,0.2211,20.0074,0.2482,25,0.1214,1.3187,0.087,4.2145
5,153,0.524,44.0411,0.7174,27,0.3178,1.2594,0.0892,5.615
5,144,0.3856,15.677,6.0885,33,5.7029,1.2875,0.1346,1.2191
5,145,0.3327,14.6122,4.1855,30,1.3463,1.2594,0.1035,1.4977
5,166,0.5104,97.2071,8.1976,30,1.3463,1.2594,0.1377,8.0869
5,158,1.2242,52.156,17.723,35,14.9304,1.2938,0.2648,3.5881
5,148,0.4366,33.2034,9.2029,32,3.5246,1.2624,0.1477,3.8574
5,146,0.4829,15.9816,6.1358,34,9.2275,1.3135,0.0803,1.0377
