Concurrent task count,Total Fibonacci size,New task start time (relative),Total latency (excluding new task),New task latency,New task Fibonacci size,New task FLOPs,CPU frequency (GHz),Task start times,Task operations (FLOPs)
8,246,0.7825,87.0185,24.7965,34,9.2275,1.398,"[0.0003, 0.0439, 0.1303, 0.1812, 0.2372, 0.5562, 0.6347, 0.6957]","[0.832, 14.9304, 9.2275, 2.1783, 0.1964, 0.5142, 5.7029, 1.3463]"
8,237,0.8651,65.3267,14.8275,33,5.7029,1.4998,"[0.0003, 0.0464, 0.0732, 0.1243, 0.2172, 0.3093, 0.3972, 0.5343]","[0.1964, 5.7029, 9.2275, 1.3463, 0.5142, 0.1964, 0.3178, 5.7029]"
8,251,1.1271,142.1557,21.4238,33,5.7029,1.3178,"[0.0003, 0.0367, 0.081, 0.1376, 0.2648, 0.4274, 0.6608, 1.0671]","[0.5142, 9.2275, 9.2275, 5.7029, 9.2275, 9.2275, 0.3178, 0.3178]"
8,245,1.1299,59.8422,0.4666,25,0.1214,1.4557,"[0.0003, 0.0254, 0.1218, 0.2797, 0.595, 0.9199, 1.0214, 1.1078]","[2.1783, 0.832, 5.7029, 0.832, 0.3178, 3.5246, 1.3463, 9.2275]"
8,231,1.4743,23.7972,2.7225,29,0.832,1.4089,"[0.0003, 0.0348, 0.0565, 0.204, 0.3515, 0.5324, 0.5993, 1.0214]","[0.3178, 9.2275, 0.3178, 5.7029, 2.1783, 0.1964, 0.3178, 0.1964]"
8,248,1.1454,88.1115,0.4236,25,0.1214,1.4126,"[0.0003, 0.0359, 0.0776, 0.1996, 0.294, 0.542, 0.6436, 1.1009]","[14.9304, 14.9304, 0.832, 0.832, 3.5246, 0.3178, 0.5142, 5.7029]"
8,252,1.1609,164.0899,34.1165,35,14.9304,1.4928,"[0.0003, 0.0426, 0.0681, 0.1952, 0.3834, 0.4345, 0.8296, 0.87]","[14.9304, 0.3178, 9.2275, 9.2275, 9.2275, 0.1214, 3.5246, 2.1783]"
8,236,0.5007,39.0038,4.6583,30,1.3463,1.3139,"[0.0003, 0.0426, 0.0808, 0.1271, 0.1934, 0.2548, 0.3371, 0.399]","[0.1964, 0.832, 0.832, 14.9304, 0.3178, 3.5246, 0.1214, 5.7029]"
8,236,0.4822,48.2206,4.3469,30,1.3463,1.3614,"[0.0003, 0.0267, 0.0767, 0.1287, 0.1908, 0.2529, 0.2838, 0.4012]","[0.1964, 0.1214, 5.7029, 5.7029, 0.832, 0.3178, 3.5246, 2.1783]"
8,236,1.0742,43.1089,0.7802,26,0.1964,1.5775,"[0.0002, 0.0396, 0.1311, 0.2683, 0.3103, 0.6052, 0.7678, 1.0433]","[0.832, 2.1783, 0.5142, 14.9304, 0.1214, 0.1214, 0.832, 9.2275]"
