Concurrent task count,Total task size (MB),New task start time (relative),Total latency (excluding new task),New task latency,New task size (MB),New task FLOPs (GFLOPs),CPU frequency (GHz),Average Task Start Time,Average Task Operations (FLOPs)
1,16.2015,0.2024,0.8109,0.7055,6.8019,82.2,1.9059,0.0124,41.1
1,60.5415,0.1245,2.594,1.6046,26.1889,73.98,2.0361,0.0315,123.3
1,26.1889,0.2817,1.1313,0.7924,6.8019,82.2,1.8,0.0127,73.98
1,11.7294,0.2705,0.7477,1.2735,26.1889,73.98,1.8333,0.042,106.86
1,60.5415,0.1442,2.5243,2.8222,60.5415,123.3,1.7011,0.1369,123.3
1,57.8413,0.1092,2.5732,2.5733,57.8413,106.86,1.6526,0.1229,106.86
1,11.7294,0.215,0.9908,2.3476,60.5415,123.3,1.7074,0.1272,106.86
1,16.2015,0.111,0.952,1.7071,35.3044,312.36,1.8503,0.1721,41.1
1,61.4555,0.1471,2.6284,2.7946,61.4555,106.86,1.7197,0.0892,106.86
1,16.2015,0.2419,0.859,2.4951,62.6262,131.52,1.6708,0.1711,41.1
1,26.1889,0.2988,1.3048,2.5099,60.5415,123.3,1.6208,0.1425,73.98
1,60.5415,0.2014,2.9131,3.1351,62.6262,131.52,1.5387,0.0452,123.3
1,57.8413,0.2149,2.3447,1.5362,26.1889,73.98,1.831,0.0522,106.86
1,6.8019,0.1798,0.6405,2.3277,60.5415,123.3,1.6882,0.1787,82.2
1,62.6262,0.2237,2.9224,2.9091,62.6262,131.52,1.7265,0.1697,131.52
1,16.2015,0.2894,0.9304,1.1138,16.2015,41.1,1.9083,0.1905,41.1
1,57.8413,0.1189,2.9809,2.9762,62.6262,131.52,1.8689,0.1852,106.86
1,6.8019,0.1932,0.7933,0.8284,6.8019,82.2,1.7822,0.0225,82.2
1,35.3044,0.1155,2.1375,2.6082,62.6262,131.52,1.7231,0.0347,312.36
1,11.7294,0.2616,0.6646,0.6933,6.8019,82.2,1.9118,0.1107,106.86
1,61.4555,0.2509,2.1384,0.8265,6.8019,82.2,1.9261,0.1758,106.86
1,6.8019,0.1811,0.7227,0.8308,6.8019,82.2,1.9219,0.0593,82.2
1,6.8019,0.1117,0.6419,2.2869,61.4555,106.86,1.6818,0.1541,82.2
1,62.6262,0.2189,2.4359,1.1008,16.2015,41.1,1.9751,0.0304,131.52
1,60.5415,0.1202,2.7589,2.745,57.8413,106.86,1.4735,0.1665,123.3
1,16.2015,0.2417,0.9798,1.0373,11.7294,106.86,1.7599,0.1658,41.1
1,62.6262,0.1888,2.2937,1.0415,11.7294,106.86,1.9324,0.0758,131.52
1,6.8019,0.2148,0.5638,0.7859,11.7294,106.86,1.8458,0.0549,82.2
