Concurrent task count,Total task size (MB),New task start time (relative),Total latency (excluding new task),New task latency,New task size (MB),New task FLOPs (GFLOPs),CPU frequency (GHz),Average Task Start Time,Average Task Operations (FLOPs)
5,194.3561,0.7564,20.6612,2.8186,6.8019,82.2,1.599,0.3199,96.996
5,227.9276,0.6995,26.8823,6.3805,57.8413,106.86,1.4737,0.2866,92.064
5,155.9396,0.8254,17.092,2.5768,6.8019,82.2,1.4586,0.2823,129.876
5,114.1483,0.7663,14.7048,4.1264,35.3044,312.36,1.5389,0.3069,95.352
5,113.8355,0.8307,14.4773,4.4002,57.8413,106.86,1.4313,0.3614,77.268
5,212.0627,0.785,23.5169,4.0829,26.1889,73.98,1.5251,0.2742,185.772
5,154.0296,0.7401,16.172,2.933,11.7294,106.86,1.5865,0.3202,88.776
5,142.6508,0.7334,14.9052,3.9889,35.3044,312.36,1.7184,0.3829,141.384
5,172.9899,0.809,16.576,2.6108,16.2015,41.1,1.4873,0.43,143.028
5,112.3898,0.6759,12.4656,2.026,6.8019,82.2,1.4327,0.2529,75.624
5,183.9778,0.9315,21.6492,3.244,26.1889,73.98,1.5062,0.2877,136.452
5,259.2815,0.8594,27.5633,6.0533,35.3044,312.36,1.6397,0.444,103.572
5,301.2198,0.9019,34.1783,7.4518,62.6262,131.52,1.3802,0.4108,111.792
5,158.0992,0.7547,19.6247,3.1878,16.2015,41.1,1.6428,0.3768,106.86
5,177.2875,0.7751,22.2617,6.2245,61.4555,106.86,1.3444,0.3787,95.352
5,215.9143,0.7423,26.7568,6.2497,35.3044,312.36,1.7419,0.3453,87.132
5,239.8021,0.79,30.5572,6.3029,35.3044,312.36,1.6459,0.2636,146.316
5,172.5026,0.8655,19.6116,3.3385,6.8019,82.2,1.4972,0.3342,90.42
5,234.9124,0.8107,28.5119,4.5729,26.1889,73.98,1.6335,0.3453,162.756
5,166.5099,0.776,21.4933,3.2758,16.2015,41.1,1.4598,0.2996,126.588
5,182.49,0.8537,22.6794,3.7673,11.7294,106.86,1.5979,0.3285,96.996
5,204.0124,0.8308,27.2425,6.6636,60.5415,123.3,1.3498,0.4273,96.996
5,224.1719,0.8581,28.6726,5.0871,57.8413,106.86,1.6555,0.3703,147.96
5,193.5476,0.7612,21.0138,5.3924,61.4555,106.86,1.5239,0.4653,146.316
5,196.3904,0.9294,22.5218,5.4602,35.3044,312.36,1.5211,0.429,149.604
5,139.1881,1.0131,16.6141,4.1129,57.8413,106.86,1.4777,0.4955,162.756
5,215.4967,0.7958,24.259,6.4006,61.4555,106.86,1.3739,0.2785,90.42
5,191.4629,0.759,17.4102,2.5929,16.2015,41.1,1.4917,0.3698,144.672
5,170.2753,0.9369,20.7107,4.2467,26.1889,73.98,1.6818,0.4394,88.776
