Task ID,Task Number,Fibonacci Size,Relative Start Time (s),Task Latency (s),CPU Freq (GHz),FLOPs
18-3,8,26,0.06078,0.317716,1.5256693437499997,196417
18-1,8,29,0.000309,5.007774,1.4346064791666668,832039
18-2,8,31,0.040292,6.278063,1.5351863020833332,2178308
18-5,8,33,0.31867,12.650326,1.4090236458333336,5702886
18-6,8,31,0.49703,11.59184,1.4348747083333335,2178308
18-4,8,31,0.084667,11.700259,1.4716726458333333,2178308
18-8,8,33,0.663231,18.920438,1.37209759375,5702886
18-7,8,35,0.545188,24.716821,1.4891831354166667,14930351
18-9,8,34,0.732952,22.926911,1.4565591562500002,9227464
19-2,8,25,0.034024,0.230238,1.3548432812500002,121392
19-4,8,28,0.151064,2.241646,1.437343229166667,514228
19-6,8,26,0.447065,0.856153,1.4265075208333329,196417
19-5,8,28,0.295148,2.522601,1.4278921979166674,514228
19-1,8,32,0.000313,8.819555,1.4336736979166669,3524577
19-8,8,28,0.693566,2.398684,1.4377320104166664,514228
19-3,8,34,0.089998,10.385032,1.477189052083333,9227464
19-7,8,30,0.60963,5.422459,1.4041306145833332,1346268
19-9,8,33,0.876105,7.878101,1.4468967812499998,5702886
20-9,8,27,1.026849,1.546383,1.3730722916666667,317810
20-8,8,29,0.961808,1.789036,1.3385783020833335,832039
20-2,8,28,0.022987,1.211442,1.4065834166666664,514228
20-5,8,28,0.244603,2.491841,1.3625614687499998,514228
20-4,8,27,0.132872,0.77199,1.3763760312500006,317810
20-1,8,30,0.000285,4.30471,1.3762052916666672,1346268
20-7,8,35,0.915352,10.343335,1.4605014583333331,14930351
20-6,8,31,0.803702,6.699563,1.4542528437500002,2178308
20-3,8,32,0.08202,8.218035,1.4935289375,3524577
21-1,8,28,0.000326,1.653068,1.3968134479166663,514228
21-4,8,29,0.219882,2.325238,1.556420385416667,832039
21-3,8,31,0.102434,4.224499,1.4832939166666663,2178308
21-9,8,25,1.107888,0.349717,1.5905359374999999,121392
21-2,8,25,0.031235,0.086611,1.4538893958333328,121392
21-7,8,29,0.401059,2.432521,1.4286611458333334,832039
21-8,8,28,0.492569,2.823099,1.4298672708333335,514228
21-5,8,34,0.26648,14.188503,1.4919191041666664,9227464
21-6,8,34,0.344384,13.804874,1.4480626770833331,9227464
22-1,8,28,0.000271,0.360238,1.4031734791666668,514228
22-2,8,29,0.04864,2.527582,1.4277216145833334,832039
22-4,8,26,0.155475,0.396396,1.4038218125000004,196417
22-7,8,29,0.598646,2.020765,1.3308067916666664,832039
22-5,8,25,0.297501,0.474456,1.39697259375,121392
22-8,8,30,0.640126,4.293219,1.3522900416666663,1346268
22-3,8,32,0.10967,10.008715,1.393582916666667,3524577
22-6,8,35,0.348179,18.829146,1.4932813333333335,14930351
22-9,8,34,0.734127,17.933783,1.3262957187500004,9227464
23-1,8,27,0.000344,0.209128,1.4237437395833337,317810
23-6,8,28,0.381522,2.304742,1.4772498229166666,514228
23-4,8,30,0.193189,5.719537,1.2750446666666668,1346268
23-9,8,30,0.959234,5.796777,1.3286309270833334,1346268
23-7,8,30,0.529007,7.620936,1.3933207708333333,1346268
23-2,8,31,0.045667,10.561523,1.3809800416666664,2178308
23-3,8,33,0.101641,16.777265,1.437315020833333,5702886
23-5,8,35,0.2771,23.687235,1.5833559895833331,14930351
23-8,8,34,0.647214,21.978714,1.3994917916666665,9227464
24-8,8,29,1.140135,1.765926,1.4051824479166661,832039
24-5,8,27,0.291668,2.268334,1.4741130937499995,317810
24-9,8,30,1.616155,5.176239,1.4132033750000002,1346268
24-1,8,28,0.000282,1.513257,1.4625411562499997,514228
24-3,8,29,0.082968,2.752104,1.3871968749999999,832039
24-7,8,34,0.510039,22.472456,1.5179474062499994,9227464
24-4,8,35,0.133843,27.132763,1.4464423020833335,14930351
24-6,8,34,0.378026,22.353895,1.4386115104166664,9227464
24-2,8,34,0.037183,25.65413,1.5170747812499996,9227464
25-7,8,27,0.340023,1.943911,1.465412375,317810
25-6,8,25,0.253669,0.412995,1.4167913645833334,121392
25-4,8,30,0.138112,6.222025,1.6177553958333335,1346268
25-3,8,31,0.087234,9.974013,1.4643125624999995,2178308
25-2,8,31,0.041354,10.414145,1.3760663750000002,2178308
25-5,8,34,0.182424,21.455204,1.5479048333333336,9227464
25-8,8,34,0.487324,24.283796,1.4575771354166664,9227464
25-9,8,35,0.639519,30.165034,1.4520254687500003,14930351
25-1,8,35,0.000292,30.264454,1.5177490833333331,14930351
26-9,8,28,1.56795,1.940232,1.4965555312500003,514228
26-7,8,27,1.023991,1.925621,1.4645106666666663,317810
26-4,8,26,0.104062,1.046555,1.526008322916667,196417
26-8,8,29,1.445823,1.953718,1.5054809583333333,832039
26-1,8,29,0.000225,1.987074,1.5425969583333334,832039
26-3,8,31,0.058259,5.542323,1.4941339999999999,2178308
26-2,8,34,0.032796,13.751134,1.43755359375,9227464
26-5,8,34,0.205866,19.080034,1.4584304062499995,9227464
26-6,8,34,0.369305,18.599927,1.462260510416667,9227464
27-9,8,34,1.104541,6.590391,1.4632547291666667,9227464
27-2,8,27,0.041696,1.4242,1.465332822916667,317810
27-7,8,26,0.783834,0.76365,1.461498135416667,196417
27-3,8,28,0.138133,1.655367,1.4952382604166667,514228
27-4,8,28,0.189,1.650262,1.4393502083333332,514228
27-6,8,29,0.443281,2.876252,1.3471513124999999,832039
27-8,8,29,0.829775,3.372983,1.3229143437500004,832039
27-1,8,31,0.000225,5.693761,1.462810291666667,2178308
27-5,8,31,0.341602,5.911452,1.365856864583333,2178308
28-6,8,25,0.616522,0.61658,1.4123097500000004,121392
28-5,8,27,0.35731,2.369233,1.4168116979166663,317810
